username,followers,following,tweets_count,verified,created_at,description,location,website,latest_tweet_date,avg_likes,avg_retweets,engagement_rate,is_valid,validation_notes
Irenezhao_,252392,724,6227,False,Wed Mar 03 04:10:50 +0000 2021,,Singapore,https://x.com/Irenezhao_,,,,,True,PASS
ThisIsSethsBlog,725187,2,5607,False,Wed Dec 03 01:55:18 +0000 2008,"Author, blogger, a lifetime of projects. This is a retweet of my blog.",New York,https://x.com/ThisIsSethsBlog,,,,,True,PASS
annhandley,50509,20761,18461,False,Fri May 30 17:15:56 +0000 2008,"Author. Speaker. CCO. Everybody Writes 2 is out now! More than 50k read Total Annarchy, my newsletter on writing, marketing, living your best life.",Boston,https://x.com/annhandley,,,,,True,PASS
randfish,454911,118,70300,False,Sat Jun 02 19:28:10 +0000 2007,"Co-founder https://t.co/UdbZdchqS5, https://t.co/p1vp6dBZkE & https://t.co/hWzhpB4ku1. I help people do better marketing.","Seattle, WA",https://x.com/randfish,,,,,True,PASS
GoldieChan,34146,3537,83114,False,Fri Jul 31 09:39:17 +0000 2009,Author of Personal Branding for Introverts. Ex Forbes. Writer @ArchieComics.  Creative & Branding @WarmRobots. Cancer Survivor 🌱 Speak: info@goldiechan.com,Los Angeles ✌🏼,https://x.com/GoldieChan,,,,,True,PASS
Superhuman,226632,3430,41612,False,Sun Jun 14 22:23:52 +0000 2009,"Superpowers, everywhere you work. Grammarly, Coda, Mail, and a new product called Superhuman Go are part of the Superhuman suite.",San Francisco,https://x.com/Superhuman,,,,,True,PASS
Econsultancy,198808,1133,62649,False,Fri Jan 04 09:40:55 +0000 2008,We empower large organisations to elevate their teams’ capabilities and confidence in marketing and ecommerce.,London | New York ,https://x.com/Econsultancy,,,,,True,PASS
stephsmithio,160252,99,17794,False,Wed Jul 04 18:46:47 +0000 2012,"Growth @NVIDIA | prev Head of Growth @GroqInc

📌 Also: @a16z @HubSpot @TheHustle
💻 Chronically online @internet_pipes
🎙 Podcasting @sydlis 👇",the internet rabbit hole 🕳️,https://x.com/stephsmithio,,,,,True,PASS
boringmarketer,89989,268,9431,False,Tue Jan 31 15:27:55 +0000 2023,Automating marketing with AI workflows & agents. Building products & community. Get my Claude Skills: https://t.co/a6VnNvuSpX,"join 2,800+ ai marketers →",https://x.com/boringmarketer,,,,,True,PASS
jaboukie,767267,1228,1694,False,Sat Jun 18 18:14:55 +0000 2011,https://t.co/YRkNpNPnJe,,https://x.com/jaboukie,,,,,True,PASS
jenstatsky,140332,1777,1031,False,Mon Jun 08 16:42:39 +0000 2009,i co-created HACKS on @hbomax & i wrote for the good place & broad city & parks and rec & some other stuff & i’m still gonna die someday.,,https://x.com/jenstatsky,,,,,True,PASS
someecards,1623428,587,132817,False,Fri Mar 07 12:49:08 +0000 2008,"Welcome to the Twitter feed of somewhat internationally acclaimed humor site, http://t.co/GVZIdYcOlq. You’ll love not unfollowing us!","New York, NY",https://x.com/someecards,,,,,True,PASS
simoncholland,160983,1354,20459,False,Sat Sep 06 19:28:31 +0000 2014,Olympic Hopeful,Atlanta,https://x.com/simoncholland,,,,,True,PASS
XplodingUnicorn,867925,771,24602,False,Sat Aug 25 11:13:24 +0000 2012,Father of daughters. Owner of pigs. Writer of books: https://t.co/V7JWbsTXJ9,"Indianapolis, IN",https://x.com/XplodingUnicorn,,,,,True,PASS
god,556379,2,23169,False,Wed Jan 17 15:31:39 +0000 2007,He who has everything but God has nothing.,Mount Olympus,https://x.com/god,,,,,True,PASS
DeathStarPR,275654,444,6258,False,Sat Jun 19 05:14:58 +0000 2010,The Galactic Empire has been getting a bad rap. We're here to set the record straight. Email: DeathStarPR@gmail.com,"In a galaxy far, far away...",https://x.com/DeathStarPR,,,,,True,PASS
PreschoolGems,136834,664,3292,False,Thu Apr 08 06:53:57 +0000 2010,"LOVE. DEATH. MAGIC. Catalogued by Leslie McCollom. Book out now from @PenguinRandom! Get one, why don't you?",,https://x.com/PreschoolGems,,,,,True,PASS
dril,1661065,414,14553,False,Mon Sep 15 17:21:54 +0000 2008,"welcome to my shit
https://t.co/SuXccfQtN7
https://t.co/kHbbE12Ftx
https://t.co/uXYQZrfYdk",LA,https://x.com/dril,,,,,True,PASS
dog_rates,8890421,13,26557,False,Sun Nov 15 21:41:29 +0000 2015,Your Only Source For Professional Dog Ratings Instagram and Facebook ➜ WeRateDogs partnerships@weratedogs.com | nonprofit: @15outof10 ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀,,https://x.com/dog_rates,,,,,True,PASS
melefante6,20525,50,2474,False,Thu Dec 09 21:01:50 +0000 2021,"I've helped people acquire ~1B in Airbnbs 🏠 DM me ""START"" to get your 1st Airbnb. Learn more here 👇","South Carolina, USA",https://x.com/melefante6,,,,,True,PASS
NoContextHumans,4253452,309,48483,False,Wed Jun 12 16:14:51 +0000 2019,The ORIGINAL Out of Context Human Race page! Subscribe to us for $1!↗️ No Copyright intended.,,https://x.com/NoContextHumans,,,,,True,PASS
Ryanair,894295,59,287738,False,Mon Jun 24 08:48:55 +0000 2013,"Catch flights, not feelings with Europe’s favourite airline.",,https://x.com/Ryanair,,,,,True,PASS
foundmyfitness,636927,217,10422,False,Tue Aug 18 04:01:47 +0000 2009,"Ph.D in biomedical science interested in nutrition, brain & aging. Host of FoundMyFitness podcast https://t.co/rirQwqebxL",,https://x.com/foundmyfitness,,,,,True,PASS
BodyForWife,33094,1129,24863,False,Tue Mar 10 21:55:06 +0000 2009,Nope. Fuck Nazis. Fuck Anal Musk. And fuck this place. Haven't posted in months and never will again. Not deleting to protect my handle from imposters. Byeeee!!,"Calgary, The Great White North",https://x.com/BodyForWife,,,,,True,PASS
TriathleteMag,112228,447,46757,False,Tue Apr 15 20:34:52 +0000 2008,Triathlete Magazine is the world's leading triathlon resource.,"Boulder, CO",https://x.com/TriathleteMag,,,,,True,PASS
DeanTTraining,57559,497,105171,False,Mon Aug 30 13:16:04 +0000 2021,"For 1:1 online coaching, workout programs and more, visit https://t.co/FLY12I4c9d",FREE Resources 👇🏻,https://x.com/DeanTTraining,,,,,True,PASS
BillKristol,1016449,9132,70181,False,Thu Oct 02 18:47:57 +0000 2014,"Director, https://t.co/JPcpCzAVjV. Editor at large & Morning Shots co-author, https://t.co/IFsNJFzEig. Host, https://t.co/wbwBfexLRN",,https://x.com/BillKristol,,,,,True,PASS
jayrosen_nyu,280164,1467,101242,False,Mon May 19 16:09:01 +0000 2008,"I teach journalism at NYU, critique the press, try to suggest reforms. PressThink is both my subject and my site.  @jayrosen.bsky.social jayrosen_nyc at Threads",New York City jr3@nyu.edu,https://x.com/jayrosen_nyu,,,,,True,PASS
ezraklein,2328453,1405,7752,False,Mon Jan 05 04:02:29 +0000 2009,"Columnist, @NYTOpinion
Author, ""Why We're Polarized""
Host of ""The Ezra Klein Show"" podcast",,https://x.com/ezraklein,,,,,True,PASS
LouiseMensch,237349,32304,136597,False,Thu Jan 22 16:36:16 +0000 2009,"""Unhinged British witch"" ""a textbook succubus""- Russian Insider",,https://x.com/LouiseMensch,,,,,True,PASS
jonfavs,1288489,1712,22838,False,Wed Apr 07 13:10:43 +0000 2010,"The Other One. @PodSaveAmerica, @Crooked, terminally online host of Offline, Obama speechwriter",US,https://x.com/jonfavs,,,,,True,PASS
nickconfessore,176848,1709,325,False,Mon Feb 28 18:27:35 +0000 2011,"Reporter for @NYTimes, staff writer at @NYTmag, @MSNOWNews political analyst. Also at @nickconfessore.bsky.social.",,https://x.com/nickconfessore,,,,,True,PASS
Ronald_vanLoon,344208,164624,180881,False,Mon Apr 16 07:55:31 +0000 2012,Helping AI driven companies generate value•Top10Influencer #AI #BigData #DataScience #IoT #MachineLearning #Analytics #Cloud,The Netherlands,https://x.com/Ronald_vanLoon,,,,,True,PASS
KirkDBorne,477343,4185,188287,False,Fri Mar 23 16:35:17 +0000 2012,Advisor to startups. Freelancer. @LeadershipData founder. Global Speaker. Top #B2B influencer & social promoter #DataScience #AI #ML. PhD Astrophysics @Caltech,"Maryland, USA",https://x.com/KirkDBorne,,,,,True,PASS
simonsinek,969250,39,4030,False,Sun Aug 24 16:24:52 +0000 2008,inspire someone every single day.,New York,https://x.com/simonsinek,,,,,True,PASS
marieforleo,204789,95,31348,False,Tue Sep 30 13:23:10 +0000 2008,#1 NY Times Bestselling author of #EverythingisFigureoutable. CEO. Dancer. Host of #MarieTV & #TheMarieForleoPodcast.,"West Village, NYC",https://x.com/marieforleo,,,,,True,PASS
ransegall,28751,1214,5591,False,Mon Feb 14 08:21:03 +0000 2011,"Helping people make a living as designers. Building Flux Academy.

🔥 FREE TRAINING: 3 Steps to Build a Thriving Web Design Career 👇",Tel-Aviv,https://x.com/ransegall,,,,,True,PASS
AmyJoMartin,849439,27616,22416,False,Thu Sep 18 05:52:43 +0000 2008,"Mom. Founder/CEO Renegade Global, NY Times bestselling author, Investor, Keynote Speaker, Why Not Now? podcast. https://t.co/yOp46zfvNJ","Austin, Texas",https://x.com/AmyJoMartin,,,,,True,PASS
jaltucher,222441,18764,55058,False,Sun Aug 19 16:23:47 +0000 2007,"For some reason, I've turned myself inside out and all my guts have spilled onto my blog.  Truth and vulnerability or the currency of content.  NM in chess.",NYC,https://x.com/jaltucher,,,,,True,PASS
donaldmiller,197631,832,20718,False,Wed Mar 19 22:34:49 +0000 2008,"Most companies struggle to talk about what they offer but if you confuse, you'll lose. My framework helps you clarify your message so customers place orders.","Nashville, TN",https://x.com/donaldmiller,,,,,True,PASS
thedankoe,552885,945,30160,False,Wed Feb 23 14:25:39 +0000 2011,notes to myself. building @edendotso,the goods:,https://x.com/thedankoe,,,,,True,PASS
coolcatteacher,151260,8419,88271,False,Thu Mar 29 22:29:40 +0000 2007,"Teacher #edtech  🎙 HOST 10 Minute Teacher Podcast & Cool Cat Teacher Talk Show🏆 Top Teacher Influencer since 2005 🐦 AP  CSP Teacher, Mom, IT Coach, Joyful","Camilla, Georgia ",https://x.com/coolcatteacher,,,,,True,PASS
tomwhitby,78778,8959,86220,False,Sun Nov 30 20:31:20 +0000 2008,"Author, Blogger, Speaker, podcaster, 40 yr teacher, Founder #Edchat, Edchat Interactive, EDU PLN, Blog: My Island View https://t.co/tZOxs9E8o3","LI, NY",https://x.com/tomwhitby,,,,,True,PASS
aaron_hogan,24857,5515,81071,False,Fri Jun 05 19:49:28 +0000 2009,Husband. Dad. Questioner. Literacy leader. Astros fan. Baseball card collector. Shattering the Perfect #TeacherMyth Author. All opinions are my own.,Texas,https://x.com/aaron_hogan,,,,,True,PASS
MadeForMums,50791,1789,15392,False,Thu Apr 09 08:53:34 +0000 2009,"Supporting you, from bumps to big kids
Product reviews, tips, hacks and how-tos",UK,https://x.com/MadeForMums,,,,,True,PASS
checkemoutbooks,13297,2716,90921,False,Fri Mar 27 19:56:49 +0000 2009,Dad 👨‍👩‍👧‍👦 Husband / Headteacher / NPQH / #MorningTom / 📚Blogger / TRG RfP co-leader (Solihull) / #Neighbours superfan,"Birmingham, England",https://x.com/checkemoutbooks,,,,,True,PASS
gdb,892263,8,5718,False,Fri Jul 02 19:38:09 +0000 2010,President & Co-Founder @OpenAI,,https://x.com/gdb,,,,,True,PASS
docmilanfar,102096,498,7970,False,Sun Feb 02 22:05:20 +0000 2014,"Distinguished Scientist at Google. Computational Imaging, Machine Learning, and Vision. Tweets = personal opinions. May change or disappear over time.",,https://x.com/docmilanfar,,,,,True,PASS
burkov,51362,115,20943,False,Sun Jun 14 16:56:23 +0000 2009,"Book: https://t.co/tSS6Pctj6r
App: https://t.co/APb9rPQQ9b

PhD in AI, author of 📖 The Hundred-Page Language Models Book & The Hundred-Page Machine Learning Book","Québec, Canada",https://x.com/burkov,,,,,True,PASS
sirbayes,65223,617,1061,False,Wed Oct 19 00:15:15 +0000 2016,Research Scientist at Google DeepMind. Interested in Bayesian Machine Learning.,,https://x.com/sirbayes,,,,,True,PASS
alliekmiller,79433,2344,10164,False,Mon May 11 16:57:34 +0000 2009,"#1 Most Followed Voice in AI Business (2M followers). Former Amazon, IBM. Time100 AI. Fortune 500 and startup AI advisor, public speaker. AI-First courses in 🔗","New York, NY",https://x.com/alliekmiller,,,,,True,PASS
OfficialLoganK,259370,2789,10149,False,Tue Apr 19 03:00:17 +0000 2011,Lead product for @GoogleAIStudio & Gemini API. My views!,Lkilpatrick@google.com,https://x.com/OfficialLoganK,,,,,True,PASS
mattshumer_,102430,1525,9638,False,Thu Nov 14 08:06:43 +0000 2019,"CEO @HyperWriteAI, @OthersideAI, creator of https://t.co/PSUlubx5bb (Github for prompts), investor in @GroqInc @Etched @Rork_App @OpenRouterAI + many more",MODEL ALPHA 👉,https://x.com/mattshumer_,,,,,True,PASS
karpathy,1581576,1041,9891,False,Tue Apr 21 06:49:15 +0000 2009,"Building @EurekaLabsAI. Previously Director of AI @ Tesla, founding team @ OpenAI, CS231n/PhD @ Stanford. I like to train large deep neural nets.",Stanford,https://x.com/karpathy,,,,,True,PASS
drfeifei,540352,1153,2903,False,Thu Apr 08 05:16:30 +0000 2010,"Prof (CS @Stanford), Co-Director @StanfordHAI, Cofounder/CEO @theworldlabs, #AI #SpatialIntelligence #GenAI #computervision #robotics #AI-healthcare","Stanford, CA, U.S.A.",https://x.com/drfeifei,,,,,True,PASS
rowancheung,568410,544,12100,False,Fri Mar 29 18:03:03 +0000 2013,Founder of the world’s most read daily AI newsletter @therundownai. Sharing the latest developments in the world of artificial intelligence.,"Join 2,000,000+ Readers →",https://x.com/rowancheung,,,,,True,PASS
erikbryn,211117,4706,28459,False,Mon Nov 23 21:18:26 +0000 2009,"Director @DigEconLab
Co-founder, @Workhelix
@StanfordHAI @SIEPR @Stanford https://t.co/D2bPyxoFEf",Stanford,https://x.com/erikbryn,,,,,True,PASS
StanfordHAI,102162,603,6179,False,Tue Nov 27 00:49:20 +0000 2018,"The official account of the @Stanford Institute for Human-Centered AI, advancing AI research, education, policy, and practice to improve the human condition.","Stanford, CA",https://x.com/StanfordHAI,,,,,True,PASS
zeldman,285519,5426,62655,False,Tue Dec 12 17:11:41 +0000 2006,OG blogger/web designer. Automattician. @alistapart. Designing With Web Standards. https://t.co/C8acojDiml,"New York, NY",https://x.com/zeldman,,,,,True,PASS
abduzeedo,215113,782,59298,False,Mon Dec 04 23:31:20 +0000 2006,generative inspiration,"Oakland, CA",https://x.com/abduzeedo,,,,,True,PASS
swissmiss,403932,939,40385,False,Mon Mar 19 13:40:08 +0000 2007,"Designer. Human gatherer. Optimist. My labors of love: @creativemorning, @teuxdeux, @friendsworkhere and @tattly (sold to BIC).","Brooklyn, NY",https://x.com/swissmiss,,,,,True,PASS
mizko,43936,414,13936,False,Sat May 17 23:20:18 +0000 2008,Building the Content OS. https://t.co/w1L13jUWKC + https://t.co/2znvahjPNd + https://t.co/R2czrtf34a + https://t.co/QFFJgk0Tnm,AWS,https://x.com/mizko,,,,,True,PASS
pablostanley,100825,2281,15617,False,Mon Mar 02 17:44:00 +0000 2009,"designer @v0 
playing with https://t.co/iUxmfd3xEQ",San Franciso,https://x.com/pablostanley,,,,,True,PASS
dribbble,294250,968,20848,False,Thu Apr 10 14:34:21 +0000 2008,"The world's leading platform to discover top designers, their design work, and the services they offer.",,https://x.com/dribbble,,,,,True,PASS
rogie,111672,909,103134,False,Tue Sep 25 05:50:41 +0000 2007,"Digital builder & chaos animal. Product designer on Figma Draw. Prior: Advocacy at Figma. ❤️ horror movies, electronic music, ass-numbing hot sauces, art & code",,https://x.com/rogie,,,,,True,PASS
managore,21511,276,9537,False,Tue Nov 11 09:36:37 +0000 2008,"I make games // roguelight / birdsong / the sun and moon / planetarium / sandstorm / windowframe / outline / reap / etc

leap year: https://t.co/0VbwBgKztE","sydney, aus",https://x.com/managore,,,,,True,PASS
dittomat,7859,752,25559,False,Mon Mar 14 19:34:44 +0000 2011,made 2 gonner games.,mälmø,https://x.com/dittomat,,,,,False,followers=7859 < 10000
Pixel_Dailies,90799,4,55686,False,Tue Jun 24 23:43:34 +0000 2014,Follow Pixel Dailies on Blue Sky: https://t.co/Qc5b90IkYM,Pixelton,https://x.com/Pixel_Dailies,,,,,True,PASS
Anemolito,8637,643,1541,False,Fri Dec 19 05:26:54 +0000 2014,"Freelancer Creative Web Developer👻

Sending WebGL newsletters:
https://t.co/0yZPmOLGJo","Miami, FL",https://x.com/Anemolito,,,,,False,followers=8637 < 10000
shxtou,1456362,617,126360,False,Thu Apr 23 18:47:22 +0000 2015,"Horror streamer | Vessel of the ancient lord.
Twitch & Youtube Partner
Fan Art ‣ #ArtoftheRogue ママ ‣ @suteinuA
Live 2D ‣ @iron_vertex
GamerSupps Code: SHOTO",shoto@iso-ent.com,https://x.com/shxtou,,,,,True,PASS
artsy,1653194,2573,37589,False,Mon Oct 12 06:54:45 +0000 2009,For the art obsessed. Discover and buy art by the world’s leading artists—all on the Artsy app.,"New York, NY",https://x.com/artsy,,,,,True,PASS
DeviantArt,1799772,673,30599,False,Thu Mar 15 18:51:28 +0000 2007,🎨 DeviantArt: We create connections through the creation and sharing of art. 🤔 Need help? https://t.co/5F10RKPYNX,,https://x.com/DeviantArt,,,,,True,PASS
OBEYGIANT,174610,473,7116,False,Fri Nov 07 03:05:23 +0000 2008,Official account of artist/activist Shepard Fairey. Obey Discord: https://t.co/yRAt4e5OqG  Newsletter: https://t.co/EPV4CZB6kR,Los Angeles,https://x.com/OBEYGIANT,,,,,True,PASS
takashipom,319131,2400,73520,False,Tue Feb 23 00:34:59 +0000 2010,Artist : POM&ME,tokyo,https://x.com/takashipom,,,,,True,PASS
TheDustyBC,225075,2077,36520,False,Fri Sep 29 14:52:38 +0000 2017,"The Official DustyBC, 185K on YouTube. #BTC #ETH #XRP #ADA & More! Content Creator. I am Not A Financial Advisor. Tweets = Opinion",Dubai,https://x.com/TheDustyBC,,,,,True,PASS
JRart,98603,187,6029,False,Sat Jun 02 20:34:29 +0000 2012,Artist until I find a real job:) Editions : Atelier JR Galleries : @galerieperrotin @PaceGallery @GContinua Nara Roesler Gallery & Simon Studer,somewhere around you,https://x.com/JRart,,,,,True,PASS
THEK0UNT,61228,1025,15674,False,Mon Oct 31 22:20:46 +0000 2011,,Toronto,https://x.com/THEK0UNT,,,,,True,PASS
KarenCivil,410325,1347,2826,False,Sat Sep 27 20:52:06 +0000 2008,A Cultural Artige in motion.,"Los Angeles, CA",https://x.com/KarenCivil,,,,,True,PASS
blamethelabel,31566,1414,101118,False,Sun Feb 15 12:06:01 +0000 2009,Built it brick by brick.,Amir Abbassy,https://x.com/blamethelabel,,,,,True,PASS
ComplexMusic,1648599,1063,148615,False,Wed Jan 26 13:00:01 +0000 2011,Never not listening.,,https://x.com/ComplexMusic,,,,,True,PASS
PoetryFound,288600,9730,25611,False,Wed Jul 01 15:40:41 +0000 2009,The Poetry Foundation transforms lives through the power of words. Publisher of @PoetryMagazine,"61 W Superior St, Chicago, IL",https://x.com/PoetryFound,,,,,True,PASS
StreamHatchet,13098,1692,2925,False,Fri Jul 03 18:00:37 +0000 2015,"Data. Community. Campaigns. Your 360, data-first, Influencer Marketing Agency that cuts through the noise. 
Download our latest quarterly report below.",Barcelona,https://x.com/StreamHatchet,,,,,True,PASS
Francis_Lam,66679,3084,46162,False,Mon Mar 23 04:30:50 +0000 2009,"I write and talk about food and people. I'm Editor in Chief at Clarkson Potter, the host of @splendidtable, and ex-columnist at @NYTMag. I take statins.",New York City,https://x.com/Francis_Lam,,,,,True,PASS
ottolenghi,339183,640,17574,False,Wed Jan 27 22:40:13 +0000 2010,,London,https://x.com/ottolenghi,,,,,True,PASS
SpoonUniversity,13579,1292,18241,False,Thu May 23 15:08:44 +0000 2013,just a gen z notes app chef 🍳🥪🍜🧁✨,"New York, NY",https://x.com/SpoonUniversity,,,,,True,PASS
marionnestle,131167,317,10177,False,Fri Mar 13 17:40:37 +0000 2009,"Paulette Goddard Professor of Nutrition, Food Studies, & Public Health, New York University, Emerita, and author of books about food politics.",New York,https://x.com/marionnestle,,,,,True,PASS
MattArmendariz,12077,2617,14020,False,Fri Mar 28 18:04:11 +0000 2008,,,https://x.com/MattArmendariz,,,,,True,PASS
bittman,444141,474,9148,False,Fri Feb 13 15:36:07 +0000 2009,"Ex-NYTimes, author (How to Cook Everything, Animal Vegetable Junk, VB6 etc), team player @bittmanproject, host of ""Food with Mark Bittman,"" grandpa!",,https://x.com/bittman,,,,,True,PASS
STATravel_UK,82509,747,30027,False,Tue Jun 23 16:29:08 +0000 2009,"For anyone who has ever fought & lost the urge to see what's out there #StartTheAdventure
 Contact our Cares team on @STATravelCares",United Kingdom,https://x.com/STATravel_UK,,,,,True,PASS
Fooddotcom,208717,11759,27100,False,Mon Jan 12 20:05:31 +0000 2009,All the recipes you'll ever need — period.🍴,,https://x.com/Fooddotcom,,,,,True,PASS
